"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
0.14404388738051,0.088093996410132,0.07797587377173,0.0764857501866709,0.0668486204404689,0.0458085350400368,0.0437844092562827,0.041522005136535,0.0363780980764032,0.0354804472860594,0.029132057647071,0.0167099585693365,0.0163517824127789,0.0132923831098551,0.0124035005580953,0.0118298631245761,0.0112441084141208,0.00758340432951324,0.00591219416180913,0.00578008777734094,0.00469545680666232,0.00300223145768267,0.0029671699781714,0.00177474920399286,0.000899429464164736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425388210742305,0.0135281066845492,0.0107431244271063,0.0104780315651184,0.00493475947272291,0.0039254863017308,0.003662982862585,0.00332059294334381,0.00174598016048362,0.00170696670455813,0.00138665514096234,0.000886614414011356,0.000876260111370329,0.000265618137227331,0.0180054859225638,0.0110117495512665,0.00974698422146625,0.00956071877333386,0.00835607755505861,0.0057260668800046,0.00547305115703534,0.00519025064206687,0.0045472622595504,0.00443505591075742,0.00364150720588387,0.00208874482116706,0.00204397280159736,0.00166154788873189,0.00155043756976191,0.00147873289057201,0.0014055135517651,0.000947925541189155,0.000739024270226141,0.000722510972167617,0.00058693210083279,0.000375278932210334,0.000370896247271425,0.000221843650499107,0.000112428683020592
